tree_index,tree_name,branch,node,leaves,nlnodes,branch_density,length
0,ss0.png,7,9,8,1,0.142857143,1
1,ss1.png,7,8,4,4,0.571428571,3
2,ss2.png,10,11,4,7,0.7,4
3,ss3.png,15,14,1,13,0.866666667,8
4,ss4.png,1,2,1,1,1,1
5,ss5.png,30,26,3,23,0.766666667,20
6,ss6.png,11,12,1,11,1,11
7,ss7.png,10,11,3,8,0.8,6
8,ss8.png,7,8,3,5,0.714285714,4
9,ss9.png,18,19,5,14,0.777777778,7
10,ss10.png,5,6,2,4,0.8,3
11,ss11.png,25,18,2,16,0.64,25
12,ss12.png,15,15,4,11,0.733333333,6
13,ss13.png,21,19,1,18,0.857142857,10
14,ss14.png,13,14,5,9,0.692307692,7
15,ss15.png,9,10,4,6,0.666666667,4
16,ss16.png,34,35,21,14,0.411764706,9
17,ss17.png,8,9,4,5,0.625,4
18,ss18.png,31,22,8,14,0.451612903,9
19,ss19.png,7,7,2,5,0.714285714,4
20,ss20.png,10,11,3,8,0.8,6
21,ss21.png,9,10,4,6,0.666666667,5
